id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG04,BAT016,2025-01-31,528,0.367
REG01,BAT001,2025-01-31,900,0.493
REG03,BAT006,2025-01-31,99999,0.1
REG02,BAT003,2025-01-31,526,0.791
REG02,BAT005,2025-01-31,239,0.307
REG05,BAT015,2025-01-31,820,0.551
REG03,BAT006,2025-01-31,372,0.409
REG02,BAT004,2025-01-31,318,0.478
REG01,BAT002,2025-01-31,209,0.325
REG99,BAT999,2025-01-31,350,0.6
REG03,BAT007,2025-01-31,485,0.661
,BAT001,2025-01-31,420,0.7
REG04,BAT013,2025-01-31,630,0.777
REG01,,2025-01-31,380,0.65
REG02,BAT003,2025/01/31,510,0.72
REG05,BAT014,2025-01-31,634,0.624
REG03,BAT006,2025-01-31,372,0.409
REG03,BAT008,2025-01-31,907,0.52
