id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG05,BAT015,2025-01-31,440,0.599
,BAT001,2025-01-31,420,0.7
REG04,BAT016,2025-01-31,893,0.765
REG01,BAT002,2025-01-31,741,0.53
REG05,BAT014,2025-01-31,928,0.302
REG01,,2025-01-31,380,0.65
REG04,BAT013,2025-01-31,616,0.332
REG03,BAT006,2025-01-31,99999,0.1
REG03,BAT006,2025-01-31,447,0.592
REG03,BAT008,2025/01/31,851,0.473
REG03,BAT007,2025-01-31,820,0.628
REG02,BAT004,2025-01-31,441,0.486
REG99,BAT999,2025-01-31,350,0.6
REG02,BAT003,2025/01/31,593,0.803
REG02,BAT005,2025-01-31,402,0.42
REG05,BAT015,2025-01-31,440,0.599
REG01,BAT001,2025-01-31,568,0.636
REG02,BAT003,2025/01/31,510,0.72
