id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage
REG01,BAT001,2025-01-31,512,0.67
REG01,BAT002,2025-01-31,430,0.71
REG01,BAT002,2025-01-31,N/A,0.71
REG02,BAT003,2025-01-31,380,0.65
REG02,BAT003,31/01/2025,380,0.65
REG03,BAT006,2025-01-31,620,0.58
REG03,BAT006,2025-01-31,620,1.5
REG04,BAT013,2025-01-31,490,0.73
REG05,BAT014,2025-01-31,410,0.69
 REG05  ,BAT014 ,2025-01-31,410,0.69
REG01,BAT999,2025-01-31,300,0.6
REG99,BAT001,2025-01-31,250,0.55
,BAT002,2025-01-31,480,0.7
REG01,,2025-01-31,520,0.68
