reading_id,reading_date,consumption_value,temperature,meter_code,meter_type,meter_unit,building_code,building_name,region_code,region_name,created_at,updated_at,extraction_timestamp,source_type,source_filename
1,2025/01/01 23:00:00.000,17.03,17.71,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
9,2025/01/01 22:00:00.000,16.25,22.75,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
17,2025/01/01 21:00:00.000,33.6,11.92,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
25,2025/01/01 20:00:00.000,22.75,13.38,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
33,2025/01/01 19:00:00.000,34.27,24.43,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
41,2025/01/01 18:00:00.000,23.08,20.07,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
49,2025/01/01 17:00:00.000,36.08,10.65,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
57,2025/01/01 16:00:00.000,18.94,14.12,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
65,2025/01/01 15:00:00.000,25.4,15.49,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
73,2025/01/01 14:00:00.000,31.3,17.22,ELEC_001,electricity,kWh,BAT001,DataCenter North,REG01,Casablanca-Settat,2025/12/25 01:35:17.000,2025/12/25 01:35:17.000,2026/01/01 17:02:00.000,MySQL,GreenCity_Operational_Database.sql
