id_region,id_batiment,date_rapport,emission_CO2_kg,taux_recyclage,source_filename,extraction_timestamp,source_type
REG01,,2025-01-31,380            ,0.65 ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-01-31,462            ,0.312,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-01-31,958            ,0.552,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-01-31,350            ,0.6  ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-01-31,567            ,0.704,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,,0.759,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-01-31,893            ,0.653,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-01-31,687            ,0.547,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/01/31,510            ,0.72 ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025/01/31,371            ,0.764,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,99999          ,0.1  ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-01-31,462            ,0.312,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,543            ,0.663,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-01-31,360            ,0.707,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,297            ,0.596,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-01-31,420            ,0.7  ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-01-31,556            ,0.6  ,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,543            ,0.663,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-01-31,855            ,0.383,env_reports_01_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-01-31,641            ,0.767,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-01-31,420            ,0.7  ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,99999          ,0.1  ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-01-31,554            ,0.753,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025/01/31,648            ,0.463,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-01-31,964            ,0.561,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,,0.434,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,620            ,0.604,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,448            ,0.569,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,448            ,0.569,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-01-31,569            ,0.711,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-01-31,876            ,0.48 ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-01-31,350            ,0.6  ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-01-31,344            ,0.476,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-01-31,415            ,0.754,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-01-31,380            ,0.65 ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-01-31,297            ,0.472,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/01/31,510            ,0.72 ,env_reports_01_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,528            ,0.367,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-01-31,900            ,0.493,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,99999          ,0.1  ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,526            ,0.791,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-01-31,239            ,0.307,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-01-31,820            ,0.551,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,372            ,0.409,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-01-31,318            ,0.478,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-01-31,209            ,0.325,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-01-31,350            ,0.6  ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-01-31,485            ,0.661,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-01-31,420            ,0.7  ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-01-31,630            ,0.777,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-01-31,380            ,0.65 ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/01/31,510            ,0.72 ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-01-31,634            ,0.624,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,372            ,0.409,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-01-31,907            ,0.52 ,env_reports_01_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,515            ,0.384,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-01-31,581            ,0.337,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,672            ,0.605,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
,BAT001,2025-01-31,420            ,0.7  ,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,491            ,0.459,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-01-31,515            ,0.384,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-01-31,565            ,0.525,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-01-31,99999          ,0.1  ,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-01-31,491            ,0.459,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-01-31,607            ,0.578,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-01-31,,0.602,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025/01/31,459            ,0.682,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-01-31,350            ,0.6  ,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,,2025-01-31,380            ,0.65 ,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/01/31,510            ,0.72 ,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-01-31,372            ,0.735,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-01-31,984            ,0.822,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025/01/31,758            ,0.405,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-01-31,789            ,0.494,env_reports_01_2025.csv                                                                             ,2026/01/05 17:35:49.000,csv
REG05,,2025-02-28,519            ,0.5  ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-02-28,350            ,0.6  ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-02-28,380            ,0.65 ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-02-28,323            ,0.45 ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-02-28,-586           ,0.733,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-02-28,-516           ,0.508,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-02-28,332            ,0.318,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-02-28,905            ,1.238,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-02-28,-490           ,0.705,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,99999          ,0.1  ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-02-28,680            ,0.53 ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-02-28,722            ,0.542,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-02-28,420            ,0.7  ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,332            ,0.547,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/02/28,510            ,0.72 ,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-02-28,936            ,0.335,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-02-28,930            ,0.788,env_reports_02_2025(1).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT001,2025-02-28,-289           ,0.747,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-02-28,-253           ,0.495,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-02-28,-497           ,0.472,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-02-28,306            ,0.652,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,,2025-02-28,342            ,0.312,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-02-28,420            ,0.7  ,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-02-28,338            ,0.749,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-02-28,688            ,0.728,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,801            ,0.469,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/02/28,510            ,0.72 ,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,99999          ,0.1  ,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-02-28,380            ,0.65 ,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-02-28,698            ,0.451,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG99,BAT999,2025-02-28,350            ,0.6  ,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-02-28,-621           ,0.351,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-02-28,-250           ,0.543,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT016,2025-02-28,-955           ,0.348,env_reports_02_2025(2).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,BAT013,2025-02-28,927            ,0.337,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT005,2025-02-28,811            ,0.547,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025/02/28,510            ,0.72 ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT006,2025-02-28,99999          ,0.1  ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT014,2025-02-28,-443           ,0.828,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT004,2025-02-28,-931           ,0.409,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG02,BAT003,2025-02-28,528            ,0.789,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG04,,2025-02-28,214            ,0.457,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-02-28,380            ,0.65 ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT008,2025-02-28,708            ,0.336,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,,2025-02-28,475            ,0.387,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG05,BAT015,2025-02-28,983            ,0.31 ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG03,BAT007,2025-02-28,782            ,0.669,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
,BAT001,2025-02-28,420            ,0.7  ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
REG01,BAT002,2025-02-28,879            ,1.12 ,env_reports_02_2025(4).csv                                                                          ,2026/01/05 17:35:49.000,csv
