region_code,report_date,building_code,emission_co2_kg,recycling_rate,recycling_rate_percent,extraction_timestamp,source_filename,source_type,created_at,updated_at
REG04,2025-01-31,BAT016,515,0.384,38.4,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT004,581,0.337,33.7,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025-01-31,BAT006,672,0.605,60.5,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT003,491,0.459,45.9,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG04,2025-01-31,BAT016,515,0.384,38.4,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG05,2025-01-31,BAT015,565,0.525,52.5,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT003,491,0.459,45.9,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,BAT001,607,0.578,57.8,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG05,2025-01-31,BAT014,372,0.735,73.5,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,BAT002,984,0.822,82.2,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025-01-31,BAT007,789,0.494,49.4,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025-02-28,BAT007,660,0.471,47.1,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG01,2025-02-28,BAT001,622,0.63,63.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG02,2025-02-28,BAT004,492,0.733,73.3,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG02,2025-02-28,BAT005,240,0.46,46.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG05,2025-03-31,BAT014,303,0.631,63.1,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG03,2025-03-31,BAT008,531,0.76,76.0,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG02,2025-03-31,BAT005,278,0.679,67.9,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG03,2025-03-31,BAT007,219,0.427,42.7,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-03-31,BAT002,381,0.843,84.3,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-03-31,BAT001,968,0.572,57.2,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG02,2025-03-31,BAT003,417,0.599,59.9,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
NON_R,2025-01-31,BAT001,420,0.7,70.0,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
NON_R,2025-01-31,NON_RE,350,0.6,60.0,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,NON_RE,380,0.65,65.0,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-02-28,NON_RE,380,0.65,65.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
NON_R,2025-02-28,NON_RE,350,0.6,60.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG04,2025-02-28,NON_RE,948,0.387,38.7,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG04,2025-02-28,NON_RE,574,0.643,64.3,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
NON_R,2025-02-28,BAT001,420,0.7,70.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
NON_R,2025-03-31,BAT001,420,0.7,70.0,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
NON_R,2025-03-31,NON_RE,350,0.6,60.0,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-03-31,NON_RE,380,0.65,65.0,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG03,2025-01-31,BAT008,459,0.682,68.2,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT003,510,0.72,72.0,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG04,2025-01-31,BAT013,758,0.405,40.5,2026-01-05,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-02-28,BAT003,510,0.72,72.0,2026-01-05,env_reports_02_2025.csv                                                                             ,csv  ,,
REG02,2025-03-31,BAT003,510,0.72,72.0,2026-01-05,env_reports_03_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,BAT001,820.24,0.795,79.5,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG01,2025-01-31,BAT007,238.85,0.709,70.9,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG01,2025-01-31,BAT008,599.2,0.343,34.3,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG01,2025-01-31,BAT012,1087.24,0.675,67.5,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG02,2025-01-31,BAT004,931.11,0.327,32.7,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG02,2025-01-31,BAT010,1105.52,0.722,72.2,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG03,2025-01-31,BAT006,1175.04,0.486,48.6,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG03,2025-01-31,BAT009,754.59,0.785,78.5,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG04,2025-01-31,BAT016,238.16,0.447,44.7,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
REG05,2025-01-31,BAT014,1103.73,0.523,52.3,2026-01-05,GreenCity_Operational_Database.sql                                                                  ,MySQL,2025-12-25,
