region_code,report_date,building_code,emission_co2_kg,recycling_rate,extraction_timestamp,source_filename,source_type,created_at,updated_at
REG04,2025-01-31,BAT016,515,0.384,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT004,581,0.337,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025-01-31,BAT006,672,0.605,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT003,491,0.459,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG04,2025-01-31,BAT016,515,0.384,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG05,2025-01-31,BAT015,565,0.525,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025-01-31,BAT003,491,0.459,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,BAT001,607,0.578,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025/01/31,BAT008,459,0.682,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG99,2025-01-31,BAT999,350,0.6,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025/01/31,BAT003,510,0.72,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG05,2025-01-31,BAT014,372,0.735,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG01,2025-01-31,BAT002,984,0.822,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG04,2025/01/31,BAT013,758,0.405,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG03,2025-01-31,BAT007,789,0.494,2025/12/31 16:23:40.000,env_reports_01_2025.csv                                                                             ,csv  ,,
REG02,2025/02/28,BAT003,510,0.72,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG03,2025-02-28,BAT007,660,0.471,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG01,2025-02-28,BAT001,622,0.63,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG99,2025-02-28,BAT999,350,0.6,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG02,2025-02-28,BAT004,492,0.733,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG02,2025-02-28,BAT005,240,0.46,2025/12/31 16:23:40.000,env_reports_02_2025.csv                                                                             ,csv  ,,
REG05,2025-03-31,BAT014,303,0.631,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
REG99,2025-03-31,BAT999,350,0.6,2025/12/31 16:23:40.000,env_reports_03_2025.csv                                                                             ,csv  ,,
